港澳台,#genre#



翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8

无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8

TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8

明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8

TVB千禧经典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8

TVB黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8

TVB娱乐新闻台,http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8

ViuTV,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8

MyTV SUPER,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8

龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8

龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8

靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8

美亚电影台,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8

Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8

Now爆谷台,http://aktv.top/AKTV/live/aktv2/now-1/AKTV.m3u8

凤凰中文台,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8

凤凰资讯台,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8

凤凰香港台,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8

中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8



广东,#genre#



广东体育,http://hls.cnlive.club/channel/b62f72a/index.m3u8?q=1733268171153

广东民生,http://hls.cnlive.club/channel/b666699/index.m3u8?q=1733268171153

广东珠江,http://hls.cnlive.club/channel/b674fea/index.m3u8?q=1733268171153

广东影视,http://hls.cnlive.club/channel/b64f3e0/index.m3u8?q=1733268171153

经济科教,http://hls.cnlive.club/channel/b68a3ca/index.m3u8?q=1733268171153

东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8

东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8



央视,#genre#



CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8

CCTV1 4K,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1

CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8

CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8

CCTV3 4K,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1

CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8

CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8

CCTV5 4K,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1

